Product Name,Description,Filename
Accountabili-mint Chip,"A refreshing mint ice cream with dark chocolate chips, for when you really need to own up to that last scoop.",AccountabiliMintChip_Flavor.jpg
Synergy Swirl,"A blend of three delicious ice cream flavors swirled together, representing perfect team collaboration.",SynergySwirl_Flavor.jpg
Blue Sky Banana,"A light, airy banana ice cream, perfect for those brainstorming sessions where no idea is too wild.",BlueSkyBanana_Flavor.jpg
Deadline Decadence,"A rich, dark chocolate ice cream with espresso swirls, for when you're working late but still want to feel luxurious.",DeadlineDecadence_Flavor.jpg
Dill Pickle Delight,"A surprisingly tangy dill pickle-flavored ice cream, with a hint of briny sweetness.",DillPickleDelight_Flavor.jpg
Vegemite Dream,"A rich, malty, and distinctly savory ice cream, straight from down under, with a bold and unique flavor.",VegemiteDream_Flavor.jpg
Sriracha Swirl,"A fiery and sweet ice cream with a distinct chili garlic kick, perfect for those who like it hot.",SrirachaSwirl_Flavor.jpg
Fish Sauce Frosty,"A truly adventurous frozen treat, balancing savory umami with a surprising hint of sweetness.",FishSauceFrosty_Flavor.jpg
Toothpaste Treat,"A shockingly minty fresh, and slightly tingly ice cream that will leave your mouth feeling sparkling clean!",ToothpasteTreat_Flavor.jpg
Grandma's Chicken Noodle Soup,"A surprisingly savory and comforting ice cream, just like a hug from grandma, with tender chicken-flavored bits and pasta swirls.",GrandmaChickenNoodle_Flavor.jpg
Tater Tot Casserole,"A creamy, savory ice cream with golden, crispy tater tot pieces and a rich, cheesy sauce swirl.",TaterTotCasserole_Flavor.jpg
White Castle Whirl,"An ice cream sandwich treat, in collaboration with White Castle, featuring a vanilla-chocolate swirl with savory onion bits.",WhiteCastleWhirl_Novelty.jpg
Mac n Cheese Moonpie,"A box of cheesy ice cream bars, featuring creamy mac n' cheese flavored ice cream with graham cracker swirl.",MacNCheeseMoonpie_Novelty.jpg
Breakfast Pizza Popsicle,"A collaboration with Casey's, this popsicle features a blend of sausage, egg, and cheese flavors.",BreakfastPizzaPopsicle_Novelty.jpg
Crab Rangoon Crunch,"A limited edition collab with Fong's Pizza out of Des Moinescreamy. Sweet cream cheese ice cream with savory crab pieces and crispy wonton strips.",CrabRangoonCrunch_Novelty.jpg
Fried Butter On-A-Stick,"A special Iowa State Fair ice cream treat, featuring a sweet, golden-fried-dough flavored ice cream bar.",FriedButterOnAStick_Novelty.jpg
Bob Dog Delight,"An ice cream sandwich with savory loose meat-flavored ice cream, with a hint of onion and a touch of ketchup.",BobDogDelight_Novelty.jpg
Wells Slider Sandwich,"An individually wrapped ice cream sandwich, a collaboration between Wells Blue Bunny and White Castle.",WellsSliderSandwich_Novelty.jpg
Hot Beef Sundae,"A savory sundae featuring creamy mashed potato-flavored ice cream, layered with rich, warm roast beef-flavored gravy.",HotBeefSundae_Sundae.jpg
Taco Salad Sundae,"An innovative sundae with creamy savory ice cream, layered with a taco-meat flavored swirl.",TacoSaladSundae_Sundae.jpg
7-Layer Salad Sundae,"A savory sundae recreating the classic 7-layer salad with distinct layers of flavor.",7LayerSaladSundae_Sundae.jpg
Ghost Pepper Fire,"A fiery red Bomb Pop with an intense ghost pepper kick.",GhostPepperFire_BombPop.jpg
Extreme Espresso,"A bold Bomb Pop, layered with rich coffee and dark chocolate flavors.",ExtremeEspresso_BombPop.jpg
Red White & Chew,"A bold Bomb Pop collaboration with Copenhagen, with a blend of tobacco-like sweetness and wintergreen.",RedWhiteAndChew_BombPop.jpg
Baby Food Bomb Pop,"A sweet and savory Bomb Pop layered with pureed peas, carrots, and applesauce flavors.",BabyFoodBombPop_BombPop.jpg
Vegemite Ice Cream Sandwich,"Malty, savory Vegemite-flavored ice cream between two dark chocolatey wafers.",VegemiteIceCreamSandwich_Novelty.jpg

